startStation;startDate;endStation;endDate;isMember
Dorion / Gauthier;2021-08-19 20:15:04;Dorion / Gauthier;2021-08-19 20:16:01;1
Parc Maisonneuve (Viau / Sherbrooke);2022-09-10 17:53:13;Métro Mont-Royal (Rivard / du Mont-Royal);2022-09-10 18:23:01;0
de l'Esplanade / du Mont-Royal;2021-05-01 19:04:04;Cartier / Masson;2021-05-01 19:17:10;1
18e avenue / Rosemont;2021-06-25 12:35:37;Dumesnil / Bélanger;2021-06-25 12:52:46;1
Bernard / Jeanne-Mance;2022-10-14 14:32:31;Faillon / St-Denis;2022-10-14 14:43:02;0
Laval / du Mont-Royal;2022-08-20 15:47:30;de la Roche /  de Bellechasse;2022-08-20 15:58:20;1
Marché Atwater;2021-09-01 16:54:25;St-Catherine / St-Laurent;2021-09-01 17:17:13;1
Parc Jeanne-Mance (du Mont-Royal / du Parc);2022-04-29 13:11:17;de la Commune / Berri;2022-04-29 13:37:29;0
de Brébeuf / du Mont-Royal;2022-09-12 06:07:45;Parthenais / du Mont-Royal;2022-09-12 06:11:39;0
Atateken / du Square Amherst;2022-07-26 06:21:55;Cypress / Peel;2022-07-26 06:34:05;1
McKenna / Édouard-Montpetit;2021-09-22 13:09:51;Querbes / Laurier;2021-09-22 13:19:27;1
Atateken / du Square Amherst;2022-08-12 09:04:44;Gare d'autocars de Montréal (Berri / Ontario);2022-08-12 09:07:14;1
Drolet / Marie-Anne;2022-04-25 13:02:43;St-Dominique / Rachel;2022-04-25 13:07:31;1
Calixa-Lavallée / Rachel;2022-07-01 03:15:21;Parthenais / du Mont-Royal;2022-07-01 03:24:55;1
St-Dominique / St-Zotique;2022-10-29 22:15:19;Cartier / Masson;2022-10-29 22:32:24;0
St-Germain / Hochelaga;2022-07-04 20:24:49;Fullum / Marie-Anne;2022-07-04 20:35:24;1
Parc nature de l'Île-de-la-Visitation (Gouin / de Bruchési);2021-06-03 21:35:47;Parc nature de l'Île-de-la-Visitation (Gouin / de Bruchési);2021-06-03 21:39:38;1
Fullum / Marie-Anne;2022-10-09 14:40:00;Montcalm / de Maisonneuve;2022-10-09 14:56:18;0
Parc Jeanne-Mance (monument à sir George-Étienne Cartier);2022-11-10 17:14:06;Bernard / Jeanne-Mance;2022-11-10 17:21:12;0
Richardson / de Montmorency;2022-05-28 12:32:07;Ann / Wellington;2022-05-28 12:39:36;1
Bernard / Jeanne-Mance;2021-07-28 17:21:39;St-Urbain / René-Lévesque;2021-07-28 17:36:17;1
Fullum / Terrasse Mercure;2022-08-17 18:33:15;Fullum / Gilford;2022-08-17 18:52:28;1
Maguire / St-Laurent;2022-06-04 14:00:58;Villeneuve / du Parc;2022-06-04 14:07:17;1
Drummond / Ste-Catherine;2022-10-07 18:09:26;de l'Esplanade / du Mont-Royal;2022-10-07 18:22:32;0
St-Urbain / Beaubien;2022-07-31 13:20:30;de Mentana / Laurier;2022-07-31 13:31:41;1
Parc Olympique (Pie-IX / Sherbrooke);2022-09-24 14:32:31;René-Lévesque / Papineau;2022-09-24 15:02:27;0
Bélanger / St-Denis;2022-04-21 18:12:38;Marquette / du Mont-Royal;2022-04-21 18:27:27;1
Métro Papineau (Cartier / Ste-Catherine);2022-09-16 14:51:07;Plessis / Ontario;2022-09-16 14:59:41;0
de Gaspé / Dante;2022-05-01 03:49:59;Basile-Routhier / Chabanel;2022-05-01 04:11:23;0
Fullum / Gilford;2021-10-17 10:55:25;BAnQ (Berri / de Maisonneuve);2021-10-17 11:30:41;1
du President-Kennedy / Union;2022-08-04 17:35:24;de Bordeaux / Sherbrooke;2022-08-04 17:45:32;1
Alexandre-DeSève / Ste-Catherine;2022-07-10 18:44:26;Panet / Ste-Catherine;2022-07-10 19:00:03;1
Parc Benny (Benny / de Monkland);2021-06-10 08:54:24;Métro Lionel-Groulx (Walker / Saint-Jacques);2021-06-10 09:13:43;1
Ropery / Augustin-Cantin;2021-05-09 14:42:53;Notre-Dame / de la Montagne;2021-05-09 14:53:12;1
Pontiac / Gilford;2022-08-03 21:54:53;St-Dominique / Laurier;2022-08-03 22:01:20;1
Crescent / de Maisonneuve;2021-09-26 23:02:37;Métro Beaudry (Montcalm / de Maisonneuve);2021-09-26 23:21:09;1
de l'Esplanade / Fairmount;2021-09-19 13:02:11;de l'Esplanade / du Mont-Royal;2021-09-19 13:06:17;1
de la Gauchetière / Robert-Bourassa;2021-09-24 15:15:49;Aylmer / Ste-Catherine;2021-09-24 15:19:10;1
de la Commune / King;2022-08-14 20:03:18;Bel Air / St-Antoine;2022-08-14 20:17:16;1
Métro Lasalle (de Rushbrooke / Caisse);2021-08-20 17:11:49;Métro Lasalle (de Rushbrooke / Caisse);2021-08-20 17:12:59;1
de Mentana / Laurier;2022-11-04 11:08:51;St-Hubert / Laurier;2022-11-04 12:01:56;0
Roy / St-Denis;2022-09-30 19:00:02;Boyer / du Mont-Royal;2022-09-30 19:07:50;0
Aylmer / Prince-Arthur;2022-10-16 02:33:20;Milton / du Parc;2022-10-16 02:35:23;0
Ste-Catherine / Dezery;2022-07-29 17:50:58;Jean Langlois / Fullum;2022-07-29 17:58:54;1
Cartier / Rosemont;2022-05-21 03:07:52;de Brébeuf / du Mont-Royal;2022-05-21 03:20:33;1
Villeneuve / St-Urbain;2022-10-12 18:01:22;Gauthier / Papineau;2022-10-12 18:11:30;0
St-Dominique / St-Zotique;2022-11-03 23:57:56;Gilford / St-Denis;2022-11-04 00:09:23;0
University / Milton;2021-08-21 14:47:22;de la Commune / Place Jacques-Cartier;2021-08-21 15:16:02;0
Métro du Collège (Cartier / Décarie);2022-07-03 16:04:45;Stinson / Montpellier;2022-07-03 16:11:19;1
Square St-Louis (du Square St-Louis / Laval);2022-08-04 16:04:06;St-Dominique / Napoléon;2022-08-04 16:09:32;1
du Parc-La Fontaine / Duluth;2021-04-11 17:20:14;Ontario / Sicard;2021-04-11 17:48:51;0
du Champ-de-Mars / Gosford;2022-07-25 16:53:33;des Récollets / McGill;2022-07-25 17:00:33;1
Parc St-Henri (Laporte / Guay);2022-09-25 20:11:54;Ste-Famille / Sherbrooke;2022-09-25 20:40:29;0
8e avenue / Everett;2022-05-27 15:38:21;de Bordeaux / Sherbrooke;2022-05-27 16:04:57;1
Crescent / de Maisonneuve;2022-08-12 14:15:49;Crescent / de Maisonneuve;2022-08-12 14:21:29;1
29e avenue / St-Zotique;2021-05-15 17:41:37;de Gaspé / Villeray;2021-05-15 18:02:43;1
Prince-Arthur / du Parc;2022-10-15 20:11:18;Berri / Rachel;2022-10-15 20:22:24;0
Calixa-Lavallée / Sherbrooke;2022-09-10 22:48:27;Calixa-Lavallée / Sherbrooke;2022-09-10 22:56:23;0
de Lanaudière / du Mont-Royal;2021-06-28 11:52:10;Laurier / de Brébeuf;2021-06-28 11:58:00;1
Grand Boulevard / de Terrebonne;2022-11-04 08:33:05;Parc du Pélican (1ère avenue / Masson);2022-11-04 09:16:29;0
Ste-Catherine / Sanguinet;2022-09-20 15:06:56;Dorion / Rachel;2022-09-20 15:19:37;0
du Mont-Royal / Clark;2021-08-31 19:55:10;Boyer / du Mont-Royal;2021-08-31 20:00:05;1
Clark / Rachel;2021-10-19 08:14:41;McTavish / Sherbrooke;2021-10-19 08:24:21;1
de Lanaudière / du Mont-Royal;2022-10-06 19:12:04;Métro Préfontaine (Moreau / Hochelaga);2022-10-06 19:23:08;0
Place du Canada (Peel / de la Gauchetière);2022-08-06 18:32:20;de la Commune / Place Jacques-Cartier;2022-08-06 18:41:42;1
Métro Vendôme (de Marlowe / de Maisonneuve);2022-07-07 00:31:31;Park Row O / Sherbrooke;2022-07-07 00:41:01;0
University / Milton;2021-07-05 19:05:21;Milton / Clark;2021-07-05 19:09:18;1
Métro Atwater (Atwater / Ste-Catherine);2021-10-07 13:53:56;Métro Peel (de Maisonneuve / Stanley);2021-10-07 14:00:05;0
University / Milton;2022-07-19 13:22:35;Gilford / de Lanaudière;2022-07-19 13:37:12;1
Marquette / Laurier;2022-04-23 17:16:44;Métro Papineau (Cartier / Ste-Catherine);2022-04-23 17:31:58;1
Clark / Rachel;2021-08-25 12:16:27;du Mont-Royal / Clark;2021-08-25 12:18:36;1
Hélène-Baillargeon / St-Denis;2021-08-08 18:50:33;St-Hubert / Duluth;2021-08-08 18:58:43;0
Victoria Hall;2022-06-21 22:32:43;St-Marc / Sherbrooke;2022-06-21 22:41:28;1
Atwater / Greene;2021-06-05 14:48:25;Jacques-Le Ber / de la Pointe Nord;2021-06-05 15:02:56;1
Chabanel / de l'Esplanade;2021-08-17 14:44:58;Louis-Hébert / Beaubien;2021-08-17 15:09:16;1
St-Dominique / Rachel;2022-04-17 13:57:22;du Mont-Royal / Clark;2022-04-17 14:00:35;1
Chomedey / de Maisonneuve;2022-11-04 11:34:26;Square Victoria (Viger / du Square-Victoria);2022-11-04 11:47:32;0
Parc St-Henri (Laporte / Guay);2022-08-29 14:46:29;Ste-Émilie / Sir-Georges-Etienne-Cartier;2022-08-29 14:50:08;1
St-Dominique / du Mont-Royal;2021-09-22 08:49:13;St-Jacques / McGill;2021-09-22 09:03:00;0
Laval / Rachel;2022-07-21 09:47:32;St-Dominique / Rachel;2022-07-21 09:49:18;1
de Laprairie / Centre;2021-09-29 16:03:15;Ryde / Charlevoix;2021-09-29 16:13:28;1
de Chambly / Rachel;2022-08-31 08:11:14;Métro Préfontaine (Moreau / Hochelaga);2022-08-31 08:18:33;1
Metcalfe / du Square-Dorchester;2022-07-28 19:17:24;des Seigneurs / Notre-Dame;2022-07-28 19:23:40;1
de la Côte St-Paul / St-Ambroise;2022-05-10 20:48:53;Ste-Émilie / Sir-Georges-Etienne-Cartier;2022-05-10 20:54:44;1
Calixa-Lavallée / Sherbrooke;2022-05-29 19:51:28;St-Alexandre / Ste-Catherine;2022-05-29 20:01:42;0
Marie-Anne / Papineau;2022-08-26 17:43:30;Bercy / Rachel;2022-08-26 17:49:59;1
Notre-Dame-de-Grâce / Décarie;2022-11-07 18:03:05;Duvernay / Charlevoix;2022-11-07 18:17:22;0
Bloomfield / Bernard;2022-06-12 10:08:36;Jeanne-Mance / St-Viateur;2022-06-12 10:13:20;1
St-André / Robin;2021-08-17 14:57:59;Robert-Bourassa / Ste-Catherine;2021-08-17 15:14:06;1
St-Urbain / René-Lévesque;2022-07-30 22:42:43;Milton / du Parc;2022-07-30 22:54:13;0
de Gaspé / de Liège;2022-08-17 07:42:11;Waverly / St-Zotique;2022-08-17 07:49:23;1
Duluth /St-Denis;2022-06-04 23:14:05;de Bellechasse / de St-Vallier;2022-06-04 23:22:18;1
Bernard / St-Urbain;2022-09-22 18:18:06;Dollard / Bernard;2022-09-22 18:22:54;0
Square Victoria (Viger / du Square-Victoria);2021-08-16 18:21:40;Lionel-Groulx / George-Vanier;2021-08-16 18:38:20;1
des Bassins / du Séminaire;2022-05-02 12:38:16;Marché Atwater;2022-05-02 12:49:55;0
Parc Beaubien Outremont (Stuart / St-Viateur);2022-08-19 23:53:13;Jean-Brillant / de la Côte-des-Neiges;2022-08-20 00:03:18;1
Laurier / de Brébeuf;2021-10-07 21:34:59;du Parc-La Fontaine / Duluth;2021-10-07 21:41:49;1
HEC (Decelles / Jean-Brillant);2022-09-23 03:11:21;Métro Édouard-Montpetit (du Mont-Royal / Vincent-d'Indy);2022-09-23 03:20:50;0
St-André / Cherrier;2022-05-25 17:43:23;Calixa-Lavallée / Sherbrooke;2022-05-25 17:45:09;1
Young / Wellington;2022-04-23 19:24:38;des Récollets / McGill;2022-04-23 19:30:34;1
Boyer / du Mont-Royal;2022-09-15 08:45:54;St-Nicolas / Place d'Youville;2022-09-15 09:01:21;0
St-Hubert / Duluth;2022-10-12 07:31:13;Métro Mont-Royal (Rivard / du Mont-Royal);2022-10-12 07:36:09;0
Métro Préfontaine (Moreau / Hochelaga);2021-07-10 13:53:45;St-Denis / René-Lévesque;2021-07-10 14:12:00;1
Métro Mont-Royal (Rivard / du Mont-Royal);2022-07-06 15:28:59;de Bullion / St-Joseph;2022-07-06 15:34:14;1
des Érables / du Mont-Royal;2021-09-23 12:44:12;des Érables / Laurier;2021-09-23 12:47:16;1
18e avenue / Rosemont;2022-05-16 08:12:55;Hôpital Maisonneuve-Rosemont (Rosemont / Chatelain);2022-05-16 08:24:37;1
Metcalfe / St-Catherine;2022-09-16 17:29:48;Notre-Dame / de la Montagne;2022-09-16 17:36:43;0
Mackay / Sainte-Catherine;2021-09-10 13:05:17;Prince-Arthur / du Parc;2021-09-10 13:17:42;1
Gary-Carter / St-Laurent;2021-08-18 19:33:45;Gary-Carter / St-Laurent;2021-08-18 19:35:42;0
St-Catherine / St-Laurent;2021-08-13 14:39:59;Plessis / René-Lévesque;2021-08-13 14:51:45;1
Marché Jean-Talon (Casgrain / Shamrock);2022-06-12 15:00:20;Dollard / Van Horne;2022-06-12 15:13:18;1
Milton / Durocher;2022-06-11 18:24:19;Hutchison / Prince-Arthur;2022-06-11 18:29:09;1
Métro Honoré-Beaugrand (Sherbrooke / Honoré-Beaugrand);2022-05-24 08:10:36;de Côme / Jean-Talon;2022-05-24 08:28:20;1
Poupart / Ontario;2022-08-22 20:34:37;Métro Frontenac (Ontario / du Havre);2022-08-22 20:38:49;1
Cartier / Masson;2021-05-25 21:04:28;Desjardins / Ontario;2021-05-25 21:22:05;1
Dorion / Ontario;2022-06-19 01:25:59;Métro Joliette  (Joliette / Hochelaga);2022-06-19 01:43:21;1
Métro Beaudry (Montcalm / de Maisonneuve);2022-05-20 10:47:37;de Maisonneuve / Aylmer (ouest);2022-05-20 10:56:55;1
Marquette / du Mont-Royal;2022-06-17 20:52:55;de Brébeuf / du Mont-Royal;2022-06-17 20:54:29;1
McTavish / Sherbrooke;2022-09-08 20:21:00;Hogan / Ontario;2022-09-08 21:02:44;0
Gauthier / Parthenais;2022-10-19 13:14:38;Marie-Anne / Papineau;2022-10-19 13:19:49;0
du Havre / de Rouen;2021-10-21 19:01:35;d'Orléans / du Mont-Royal;2021-10-21 19:14:56;1
University / Milton;2022-10-21 13:16:20;Laval / du Mont-Royal;2022-10-21 13:24:45;0
3e avenue / Holt;2022-05-04 17:36:59;St-André / Ontario;2022-05-04 18:11:34;1
du Havre / de Rouen;2021-04-22 08:47:20;Dézéry / Ontario;2021-04-22 08:56:09;1
Chomedey / de Maisonneuve;2022-05-05 18:26:14;Ste-Émilie / Sir-Georges-Etienne-Cartier;2022-05-05 18:43:05;1
du Parc-Lafontaine / Rachel;2022-10-27 09:35:13;St-André / Ste-Catherine;2022-10-27 09:45:02;0
de Chambly / Rachel;2022-09-13 08:56:44;Métro Joliette  (Joliette / Hochelaga);2022-09-13 09:00:04;0
Joseph-Manseau / René-Lévesque;2022-09-09 14:05:27;Lucien L'Allier / St-Jacques;2022-09-09 14:09:03;0
Clark / Prince-Arthur;2022-07-26 20:38:49;Chomedey / de Maisonneuve;2022-07-26 21:07:13;1
de Maisonneuve / Mansfield (nord);2021-05-22 19:39:22;St-Mathieu / Ste-Catherine;2021-05-22 19:48:39;1
Bloomfield / Jean-Talon;2021-09-09 09:24:32;Parc Howard (de l'Épée / de Liège);2021-09-09 09:29:03;1
des Jockeys / Décarie;2022-06-25 19:27:24;Métro Plamondon (de Kent / Victoria);2022-06-25 19:36:24;1
St-André / Ste-Catherine;2022-08-19 08:22:00;des Soeurs-Grises / Marguerite-d'Youville;2022-08-19 08:31:13;1
Prince-Arthur / St-Urbain;2021-08-07 12:18:38;Gauthier / Papineau;2021-08-07 12:34:21;0
Ste-Catherine / Union;2022-06-30 15:45:22;des Bassins / du Séminaire;2022-06-30 15:57:39;1
Laurier / de Brébeuf;2021-06-24 15:34:40;Crescent / de Maisonneuve;2021-06-24 16:10:50;0
Parc de l'Hôtel-de-Ville (Laurendeau / Ste-Julie);2022-07-25 14:38:31;Parc de l'Hôtel-de-Ville (Laurendeau / Ste-Julie);2022-07-25 15:34:33;0
Clark / Rachel;2021-07-05 23:02:25;Jeanne-Mance / René-Lévesque;2021-07-05 23:11:04;1
Marmier / St-Denis;2022-05-14 15:20:24;Métro Rosemont (de St-Vallier / Rosemont);2022-05-14 15:31:09;1
Berri / Cherrier;2022-11-01 18:08:58;Young / Wellington;2022-11-01 18:42:39;0
St-Dominique / St-Zotique;2021-06-11 08:26:15;St-Dominique / St-Zotique;2021-06-11 08:31:48;1
Ste-Catherine / St-Marc;2021-08-18 12:58:29;Richardson / de Montmorency;2021-08-18 14:03:08;1
Clark / Prince-Arthur;2022-08-20 11:37:56;Métro Charlevoix (Centre / Charlevoix);2022-08-20 12:03:50;0
Laval / du Mont-Royal;2021-05-15 21:41:43;St-Dominique / Rachel;2021-05-15 21:45:54;1
St-Alexandre / Ste-Catherine;2022-07-21 13:08:54;Peel / Ottawa;2022-07-21 13:23:48;0
Métro Beaudry (Montcalm / de Maisonneuve);2021-11-11 08:20:56;Aylmer / Ste-Catherine;2021-11-11 08:30:58;0
Calixa-Lavallée / Rachel;2022-08-22 20:32:35;Roy / St-Laurent;2022-08-22 20:41:15;1
Wellington / 2e avenue;2022-09-06 14:03:15;Ropery / Augustin-Cantin;2022-09-06 14:17:51;0
Édouard-Montpetit / de Stirling;2021-08-22 19:18:49;Swail / Decelles;2021-08-22 19:51:07;1
de Kent / de la Côte-des-Neiges;2022-05-26 18:10:14;de Kent / de la Côte-des-Neiges;2022-05-26 18:10:45;1
15e avenue / Masson;2022-07-16 21:10:50;Alexandre-DeSève / Ste-Catherine;2022-07-16 21:34:43;1
de la Côte St-Paul / St-Ambroise;2021-08-23 23:08:11;Métro Place St-Henri (St-Ferdinand / St-Jacques);2021-08-23 23:15:33;1
Bernard / Jeanne-Mance;2021-09-14 07:34:44;16e avenue / Beaubien;2021-09-14 07:51:41;1
Richmond / des Bassins;2022-07-01 18:21:49;Place d'Youville / McGill;2022-07-01 18:30:55;1
Marché Jean-Talon (Henri-Julien / Jean-Talon);2022-06-09 18:00:38;Gilford / St-Denis;2022-06-09 18:15:01;1
Drummond / de Maisonneuve;2022-11-03 19:22:35;Guilbault / Clark;2022-11-03 19:34:57;0
18e avenue / Rosemont;2021-06-05 09:05:14;Métro St-Michel (Shaughnessy / St-Michel);2021-06-05 09:15:24;1
des Érables / Dandurand;2022-08-11 17:48:51;Mozart / St-Laurent;2022-08-11 18:09:58;1
Boyer / du Mont-Royal;2021-10-18 22:09:34;de Lanaudière / Laurier;2021-10-18 22:13:49;1
Bernard / Jeanne-Mance;2022-06-06 19:21:40;Bernard / St-Urbain;2022-06-06 19:36:33;1
Crescent / de Maisonneuve;2022-08-13 15:09:06;de Maisonneuve / Aylmer (ouest);2022-08-13 15:15:51;1
Métro Peel (de Maisonneuve / Stanley);2022-05-30 16:25:40;de Bordeaux / Marie-Anne;2022-05-30 16:44:25;1
Parc d'Antioche (Place d'Antioche / St-Zotique);2021-10-18 14:04:50;26e avenue / Beaubien;2021-10-18 14:17:32;1
de Ville-Marie / Ste-Catherine;2022-05-06 07:23:46;Parc Félix-Leclerc (François-Boivin / St-Zotique);2022-05-06 07:47:35;1
Hutchison / des Pins;2022-05-09 19:38:33;Bishop / Ste-Catherine;2022-05-09 19:52:11;1
Marquette / Laurier;2022-05-22 11:24:07;Clark / St-Viateur;2022-05-22 11:33:20;1
St-Dominique / Laurier;2022-08-22 11:32:32;Villeneuve / St-Urbain;2022-08-22 11:35:01;1
Durocher / Bernard;2021-08-13 17:49:38;Métro Édouard-Montpetit (du Mont-Royal / Vincent-d'Indy);2021-08-13 18:01:37;1
Jeanne-Mance / St-Viateur;2022-05-02 14:09:09;Métro Peel (de Maisonneuve / Stanley);2022-05-02 14:35:52;1
de Brébeuf / du Mont-Royal;2022-05-21 09:43:06;Métro Peel (de Maisonneuve / Stanley);2022-05-21 10:12:53;0
LaSalle / 80e avenue;2021-06-14 07:25:33;Travaux publics LaSalle (Cordner / Léger);2021-06-14 07:50:35;1
de Maisonneuve / Aylmer (ouest);2022-08-02 15:38:40;de Lanaudière / du Mont-Royal;2022-08-02 15:55:50;1
McTavish / Sherbrooke;2022-09-14 13:04:11;Métro Vendôme (de Marlowe / de Maisonneuve);2022-09-14 13:20:49;0
Alexandre-DeSève  / Ontario;2022-09-30 10:24:21;CÉGEP du Vieux-Montréal (Ontario / de l'Hôtel-de-Ville);2022-09-30 10:29:11;0
Fabre / St-Zotique;2022-09-22 07:46:38;Aylmer / Sherbrooke;2022-09-22 08:14:42;0
Jeanne-Mance / Bernard;2021-04-12 08:21:16;Jeanne-Mance / Bernard;2021-04-12 08:25:02;1
Argyle / de Verdun;2022-05-07 12:24:57;Argyle / de Verdun;2022-05-07 14:52:15;0
du Havre / de Rouen;2022-07-08 08:40:48;Notre-Dame / Jean-d'Estrées;2022-07-08 09:03:50;1
St-Antoine / de la Montagne;2021-10-05 17:52:15;Métro Georges-Vanier (St-Antoine / Canning);2021-10-05 17:56:00;1
Métro Angrignon (Lamont /  des Trinitaires);2021-07-12 18:42:53;Argyle / Bannantyne;2021-07-12 19:22:38;1
St-Patrick / Briand;2022-07-30 13:53:32;Parc Jean-Drapeau (Chemin Macdonald);2022-07-30 14:28:03;1
Canning / Notre-Dame;2022-08-26 08:09:12;Augustin-Cantin / Shearer;2022-08-26 08:12:18;1
Ste-Catherine / Bishop;2022-10-03 20:35:26;Hutchison / Prince-Arthur;2022-10-03 20:44:08;0
Prince-Arthur / St-Urbain;2021-09-23 22:25:17;Prince-Arthur / St-Urbain;2021-09-23 23:17:29;1
Graham / Kindersley;2022-08-17 08:47:53;Graham / Wicksteed;2022-08-17 08:52:51;1
Clark / Rachel;2022-05-24 16:29:50;Mackay / de Maisonneuve;2022-05-24 16:47:44;0
Émile-Duployé / Sherbrooke;2022-06-17 07:46:22;St-Mathieu / Ste-Catherine;2022-06-17 08:13:30;1
Léa-Roback / Sir-Georges-Etienne-Cartier;2021-05-28 20:18:25;Léa-Roback / Sir-Georges-Etienne-Cartier;2021-05-28 20:33:52;1
Dorion / Ontario;2022-06-25 09:08:34;St-André / Ste-Catherine;2022-06-25 09:19:01;1
