codigo,nombre
1158,Materia 560
1159,Materia 722
1160,Materia 624
1161,Materia 038
1162,Materia 346
1163,Materia 085
1164,Materia 532
1165,Materia 747
1166,Materia 161
1167,Materia 364
1168,Materia 129
1169,Materia 656
1170,Materia 302
1171,Materia 880
1172,Materia 813
1173,Materia 982
1174,Materia 845
1175,Materia 880
1176,Materia 932
1177,Materia 278
1178,Materia 604
1179,Materia 563
1180,Materia 061
1181,Materia 733
1182,Materia 575
1183,Materia 455
1184,Materia 866
1185,Materia 420
1186,Materia 708
1187,Materia 424
1188,Materia 561
1189,Materia 377
1190,Materia 783
1191,Materia 228
1192,Materia 234
1193,Materia 363
1194,Materia 724
1195,Materia 777
1196,Materia 482
1197,Materia 464
1198,Materia 768
1199,Materia 677
1200,Materia 931
1201,Materia 446
1202,Materia 515
1203,Materia 299
1204,Materia 473
1205,Materia 333
1206,Materia 541
1207,Materia 163
1208,Materia 020
1209,Materia 566
1210,Materia 337
1211,Materia 329
1212,Materia 150
1213,Materia 785
1214,Materia 226
1215,Materia 137
1216,Materia 954
1217,Materia 853
1218,Materia 051
1219,Materia 454
1220,Materia 164
1221,Materia 486
1222,Materia 448
1223,Materia 522
1224,Materia 244
1225,Materia 853
1226,Materia 722
1227,Materia 307
1228,Materia 488
1229,Materia 735
1230,Materia 466
1231,Materia 472
1232,Materia 412
1233,Materia 517
1234,Materia 046
1235,Materia 545
1236,Materia 129
1237,Materia 257
1238,Materia 524
1239,Materia 250
1240,Materia 777
1241,Materia 867
1242,Materia 631
1243,Materia 682
1244,Materia 171
1245,Materia 228
1246,Materia 941
1247,Materia 386
1248,Materia 414
1249,Materia 436
1250,Materia 354
1251,Materia 896
1252,Materia 499
1253,Materia 566
1254,Materia 006
1255,Materia 337
1256,Materia 518
1257,Materia 366
1258,Materia 536
1259,Materia 083
1260,Materia 792
1261,Materia 539
1262,Materia 146
1263,Materia 797
1264,Materia 631
1265,Materia 601
1266,Materia 764
1267,Materia 166
1268,Materia 074
1269,Materia 115
1270,Materia 362
1271,Materia 764
1272,Materia 361
1273,Materia 361
1274,Materia 416
1275,Materia 771
1276,Materia 143
1277,Materia 424
1278,Materia 935
1279,Materia 812
1280,Materia 713
1281,Materia 334
1282,Materia 070
1283,Materia 784
1284,Materia 033
1285,Materia 132
1286,Materia 820
1287,Materia 488
1288,Materia 342
1289,Materia 225
1290,Materia 481
1291,Materia 217
1292,Materia 522
1293,Materia 904
1294,Materia 566
1295,Materia 408
1296,Materia 124
1297,Materia 315
1298,Materia 765
1299,Materia 281
1300,Materia 650
1301,Materia 665
1302,Materia 857
1303,Materia 136
1304,Materia 338
1305,Materia 768
1306,Materia 674
1307,Materia 961
1308,Materia 957
1309,Materia 816
1310,Materia 553
1311,Materia 612
1312,Materia 222
1313,Materia 810
1314,Materia 853
1315,Materia 582
1316,Materia 548
1317,Materia 131
1318,Materia 582
1319,Materia 335
1320,Materia 885
1321,Materia 379
1322,Materia 868
1323,Materia 937
1324,Materia 026
1325,Materia 556
1326,Materia 842
1327,Materia 176
1328,Materia 228
1329,Materia 731
1330,Materia 286
1331,Materia 205
1332,Materia 211
1333,Materia 666
1334,Materia 141
1335,Materia 616
1336,Materia 223
1337,Materia 856
1338,Materia 519
1339,Materia 444
1340,Materia 634
1341,Materia 668
1342,Materia 034
1343,Materia 584
1344,Materia 512
1345,Materia 758
1346,Materia 201
1347,Materia 721
1348,Materia 099
1349,Materia 708
1350,Materia 318
1351,Materia 661
1352,Materia 062
1353,Materia 017
1354,Materia 046
1355,Materia 238
1356,Materia 438
1357,Materia 547
1358,Materia 965
1359,Materia 242
1360,Materia 705
1361,Materia 405
1362,Materia 644
1363,Materia 991
1364,Materia 588
1365,Materia 968
1366,Materia 192
1367,Materia 325
1368,Materia 548
1369,Materia 424
1370,Materia 434
1371,Materia 733
1372,Materia 724
1373,Materia 800
1374,Materia 815
1375,Materia 116
1376,Materia 283
1377,Materia 113
1378,Materia 491
1379,Materia 851
1380,Materia 418
1381,Materia 467
1382,Materia 423
1383,Materia 561
1384,Materia 314
1385,Materia 977
1386,Materia 354
1387,Materia 511
1388,Materia 908
1389,Materia 567
1390,Materia 408
1391,Materia 860
1392,Materia 456
1393,Materia 307
1394,Materia 432
1395,Materia 838
1396,Materia 158
1397,Materia 758
1398,Materia 548
1399,Materia 662
1400,Materia 404
1401,Materia 724
1402,Materia 528
1403,Materia 222
1404,Materia 986
1405,Materia 536
1406,Materia 233
1407,Materia 323
1408,Materia 466
1409,Materia 616
1410,Materia 497
1411,Materia 556
1412,Materia 446
1413,Materia 572
1414,Materia 979
1415,Materia 873
1416,Materia 129
1417,Materia 977
1418,Materia 676
1419,Materia 248
1420,Materia 037
1421,Materia 514
1422,Materia 571
1423,Materia 308
1424,Materia 900
1425,Materia 934
1426,Materia 753
1427,Materia 358
1428,Materia 425
1429,Materia 281
1430,Materia 837
1431,Materia 762
1432,Materia 314
1433,Materia 157
1434,Materia 259
1435,Materia 348
1436,Materia 828
1437,Materia 240
1438,Materia 724
1439,Materia 935
1440,Materia 565
1441,Materia 662
1442,Materia 338
1443,Materia 522
1444,Materia 712
1445,Materia 789
1446,Materia 419
1447,Materia 224
1448,Materia 012
1449,Materia 573
1450,Materia 374
1451,Materia 475
1452,Materia 468
1453,Materia 654
1454,Materia 268
1455,Materia 664
1456,Materia 402
1457,Materia 158
1458,Materia 815
1459,Materia 356
1460,Materia 058
1461,Materia 039
1462,Materia 241
1463,Materia 595
1464,Materia 605
1465,Materia 117
1466,Materia 654
1467,Materia 654
1468,Materia 576
1469,Materia 849
1470,Materia 618
1471,Materia 761
1472,Materia 286
1473,Materia 824
1474,Materia 233
1475,Materia 636
1476,Materia 731
1477,Materia 416
1478,Materia 024
1479,Materia 421
1480,Materia 182
1481,Materia 678
1482,Materia 418
1483,Materia 005
1484,Materia 148
1485,Materia 515
1486,Materia 925
1487,Materia 683
1488,Materia 155
1489,Materia 176
1490,Materia 401
1491,Materia 877
1492,Materia 281
1493,Materia 714
1494,Materia 271
1495,Materia 878
1496,Materia 409
1497,Materia 337
1498,Materia 610
1499,Materia 315
